"bounds","text","package","resource_id","clazz","content_desc","aa_center_x","aa_center_y","aa_area","aa_width","aa_height","aa_start_x","aa_start_y","aa_end_x","aa_end_y","aa_is_square","aa_w_h_relation","checkable","checked","clickable","enabled","focusable","focused","index","long_clickable","password","scrollable","selected","naf"
"[0,0][1600,900]","","com.android.chrome","","android.widget.FrameLayout","","800","450","1440000","1600","900","0","0","1600","900","0","1.777778","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,0][1600,900]","","com.android.chrome","","android.widget.LinearLayout","","800","450","1440000","1600","900","0","0","1600","900","0","1.777778","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,36][1600,900]","","com.android.chrome","","android.widget.FrameLayout","","800","468","1382400","1600","864","0","36","1600","900","0","1.851852","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,36][1600,900]","","com.android.chrome","com.android.chrome:id/action_bar_root","android.widget.FrameLayout","","800","468","1382400","1600","864","0","36","1600","900","0","1.851852","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,36][1600,900]","","com.android.chrome","android:id/content","android.widget.FrameLayout","","800","468","1382400","1600","864","0","36","1600","900","0","1.851852","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,36][1600,900]","","com.android.chrome","com.android.chrome:id/coordinator","android.view.ViewGroup","","800","468","1382400","1600","864","0","36","1600","900","0","1.851852","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,36][1600,900]","","com.android.chrome","com.android.chrome:id/compositor_view_holder","android.widget.FrameLayout","","800","468","1382400","1600","864","0","36","1600","900","0","1.851852","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,36][1600,900]","","com.android.chrome","","android.widget.FrameLayout","","800","468","1382400","1600","864","0","36","1600","900","0","1.851852","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,36][1600,900]","","com.android.chrome","","android.view.View","","800","468","1382400","1600","864","0","36","1600","900","0","1.851852","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,36][1600,900]","","com.android.chrome","","android.widget.FrameLayout","","800","468","1382400","1600","864","0","36","1600","900","0","1.851852","0","0","0","1","0","0","1","0","0","0","0","0"
"[0,180][1600,900]","bet365","com.android.chrome","","android.webkit.WebView","","800","540","1152000","1600","720","0","180","1600","900","0","2.222222","0","0","0","1","1","1","0","0","0","1","0","0"
"[0,180][1600,900]","","com.android.chrome","","android.view.View","","800","540","1152000","1600","720","0","180","1600","900","0","2.222222","0","0","1","1","0","0","0","0","0","0","0","0"
"[0,183][69,252]","","com.android.chrome","","android.view.View","","34","217","4761","69","69","0","183","69","252","1","1.000000","0","0","0","1","0","0","0","0","0","0","0","0"
"[516,201][700,234]","BAIXE","com.android.chrome","","android.view.View","","608","217","6072","184","33","516","201","700","234","0","5.575758","0","0","0","1","0","0","1","0","0","0","0","0"
"[729,207][1035,228]","Para","com.android.chrome","","android.view.View","","882","217","6426","306","21","729","207","1035","228","0","14.571428","0","0","0","1","0","0","2","0","0","0","0","0"
"[1062,199][1167,235]","Download","com.android.chrome","","android.view.View","","1114","217","3780","105","36","1062","199","1167","235","0","2.916667","0","0","0","1","0","0","3","0","0","0","0","0"
"[0,0][0,0]","","com.android.chrome","","android.view.View","Ativar","0","0","0","0","0","0","0","0","0","1","0.000000","0","0","1","1","1","0","4","0","0","0","0","0"
"[0,180][1600,840]","","com.android.chrome","","android.view.View","","800","510","1056000","1600","660","0","180","1600","840","0","2.424242","0","0","0","1","0","0","5","0","0","0","0","0"
"[0,255][1600,429]","","com.android.chrome","","android.view.View","","800","342","278400","1600","174","0","255","1600","429","0","9.195402","0","0","0","1","0","0","6","0","0","0","0","0"
"[0,255][1600,429]","","com.android.chrome","","android.view.View","","800","342","278400","1600","174","0","255","1600","429","0","9.195402","0","0","0","1","0","0","0","0","0","0","0","0"
"[30,255][1365,324]","","com.android.chrome","","android.view.View","","697","289","92115","1335","69","30","255","1365","324","0","19.347826","0","0","0","1","0","0","0","0","0","0","0","0"
"[30,255][798,324]","","com.android.chrome","","android.view.View","","414","289","52992","768","69","30","255","798","324","0","11.130435","0","0","0","1","0","0","0","0","0","0","0","0"
"[30,279][96,300]","Esportes","com.android.chrome","","android.view.View","","63","289","1386","66","21","30","279","96","300","0","3.142857","0","0","0","1","0","0","0","0","0","0","0","0"
"[124,279][261,300]","Fantasy","com.android.chrome","","android.view.View","","192","289","2877","137","21","124","279","261","300","0","6.523809","0","0","0","1","0","0","1","0","0","0","0","0"
"[289,279][351,300]","Cassino","com.android.chrome","","android.view.View","","320","289","1302","62","21","289","279","351","300","0","2.952381","0","0","0","1","0","0","2","0","0","0","0","0"
"[379,279][501,300]","Cassino","com.android.chrome","","android.view.View","","440","289","2562","122","21","379","279","501","300","0","5.809524","0","0","0","1","0","0","3","0","0","0","0","0"
"[528,279][576,300]","Jogos","com.android.chrome","","android.view.View","","552","289","1008","48","21","528","279","576","300","0","2.285714","0","0","0","1","0","0","4","0","0","0","0","0"
"[604,279][660,300]","Pôquer","com.android.chrome","","android.view.View","","632","289","1176","56","21","604","279","660","300","0","2.666667","0","0","0","1","0","0","5","0","0","0","0","0"
"[687,279][732,300]","Bingo","com.android.chrome","","android.view.View","","709","289","945","45","21","687","279","732","300","0","2.142857","0","0","0","1","0","0","6","0","0","0","0","0"
"[759,279][798,300]","Extra","com.android.chrome","","android.view.View","","778","289","819","39","21","759","279","798","300","0","1.857143","0","0","0","1","0","0","7","0","0","0","0","0"
"[1363,279][1500,300]","Jogo","com.android.chrome","","android.widget.TextView","","1431","289","2877","137","21","1363","279","1500","300","0","6.523809","0","0","0","1","0","0","1","0","0","0","0","0"
"[1527,279][1572,300]","Ajuda","com.android.chrome","","android.widget.TextView","","1549","289","945","45","21","1527","279","1572","300","0","2.142857","0","0","0","1","0","0","2","0","0","0","0","0"
"[0,321][1600,429]","","com.android.chrome","","android.view.View","","800","375","172800","1600","108","0","321","1600","429","0","14.814815","0","0","0","1","0","0","3","0","0","0","0","0"
"[30,321][180,429]","","com.android.chrome","","android.view.View","","105","375","16200","150","108","30","321","180","429","0","1.388889","0","0","0","1","0","0","0","0","0","0","0","0"
"[565,321][729,429]","","com.android.chrome","","android.view.View","","647","375","17712","164","108","565","321","729","429","0","1.518519","0","0","0","1","0","0","1","0","0","0","0","0"
"[565,321][729,429]","Todos","com.android.chrome","","android.view.View","","647","375","17712","164","108","565","321","729","429","0","1.518519","0","0","0","1","0","0","0","0","0","0","0","0"
"[810,321][882,429]","","com.android.chrome","","android.view.View","","846","375","7776","72","108","810","321","882","429","0","0.666667","0","0","0","1","0","0","2","0","0","0","0","0"
"[810,321][882,429]","Ao-Vivo","com.android.chrome","","android.view.View","","846","375","7776","72","108","810","321","882","429","0","0.666667","0","0","0","1","0","0","0","0","0","0","0","0"
"[963,321][1035,429]","","com.android.chrome","","android.view.View","","999","375","7776","72","108","963","321","1035","429","0","0.666667","0","0","0","1","0","0","3","0","0","0","0","0"
"[963,321][1035,429]","Cassino","com.android.chrome","","android.view.View","","999","375","7776","72","108","963","321","1035","429","0","0.666667","0","0","0","1","0","0","0","0","0","0","0","0"
"[1369,364][1458,385]","Registre-se","com.android.chrome","","android.widget.TextView","","1413","374","1869","89","21","1369","364","1458","385","0","4.238095","0","0","0","1","0","0","4","0","0","0","0","0"
"[1512,364][1555,385]","Login","com.android.chrome","","android.widget.TextView","","1533","374","903","43","21","1512","364","1555","385","0","2.047619","0","0","0","1","0","0","5","0","0","0","0","0"
"[0,426][1600,900]","","com.android.chrome","","android.view.View","","800","663","758400","1600","474","0","426","1600","900","0","3.375527","0","0","0","1","0","0","7","0","0","0","0","0"
"[0,426][1039,900]","","com.android.chrome","","android.view.View","","519","663","492486","1039","474","0","426","1039","900","0","2.191983","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,426][1039,900]","","com.android.chrome","","android.view.View","","519","663","492486","1039","474","0","426","1039","900","0","2.191983","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,426][1039,900]","","com.android.chrome","","android.view.View","","519","663","492486","1039","474","0","426","1039","900","0","2.191983","0","0","0","1","0","0","0","0","0","1","0","0"
"[0,180][1017,900]","","com.android.chrome","","android.view.View","","508","540","732240","1017","720","0","180","1017","900","0","1.412500","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,0][0,0]","","com.android.chrome","","android.view.View","","0","0","0","0","0","0","0","0","0","1","0.000000","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,0][0,0]","","com.android.chrome","","android.view.View","","0","0","0","0","0","0","0","0","0","1","0.000000","0","0","0","1","0","0","0","0","0","1","0","0"
"[0,0][0,0]","","com.android.chrome","","android.view.View","","0","0","0","0","0","0","0","0","0","1","0.000000","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,0][0,0]","","com.android.chrome","","android.view.View","","0","0","0","0","0","0","0","0","0","1","0.000000","0","0","0","1","0","0","0","0","0","0","0","0"
"[0,0][0,0]","Favoritos","com.android.chrome","","android.view.View","","0","0","0","0","0","0","0","0","0","1","0.000000","0","0","0","1","0","0","0","0","0","0","0","0"
